Title,Year,Age
"Manhunt",2017,16
"Your Lie in April",2014,7
"Code Geass: Lelouch of the Rebellion",2006,18
"Middleditch & Schwartz",2020,18
"Zoo",2015,16
"Jupiters Legacy",2021,18
"Ratched",2020,18
"Babylon Berlin",2017,18
"Evil Genius",2018,18
"Doctor Foster",2015,16
"Marcella",2016,18
"Survivor",2000,7
"Derek",2013,7
"3%",2016,18
"Tuca & Bertie",2019,18
"Parasyte -the maxim-",2014,18
"Last Chance U",2016,16
"Trailer Park Boys",2001,18
"Black Lightning",2018,16
"Chicago Med",2015,16
"How to Sell Drugs Online (Fast)",2019,18
"Secret City",2016,18
"Dynasty",2017,16
"Dracula",2020,18
"Space Force",2020,18
"Pretend It's a City",2021,16
"Masters of the Universe: Revelation",2021,7
"Who Killed Sara?",2021,18
"Sword Art Online",2012,18
"Paranormal",2020,7
"Frontier",2016,18
"The Politician",2019,16
"Raising Dion",2019,7
"Food Wars! Shokugeki no Soma",2015,18
"Crash Landing on You",2019,16
"Seven Seconds",2018,18
"The Great British Bake Off",2010,7
"Wizards: Tales of Arcadia",2020,7
"Conversations with a Killer: The Ted Bundy Tapes",2019,18
"Fate: The Winx Saga",2021,18
"The Circle",2020,18
"Cheer",2020,16
"Hemlock Grove",2013,18
"Transformers: War for Cybertron: Siege",2020,16
"Explained",2018,16
"Messiah",2020,18
"Sky Rojo",2021,18
"Bonding",2019,18
"I'm Sorry",2017,7
"Katla",2021,18
"It's Okay to Not Be Okay",2020,16
"Forensic Files",1996,16
"Workin' Moms",2017,18
"The Toys That Made Us",2017,16
"The Devil Next Door",2019,18
"Kipo and the Age of Wonderbeasts",2020,7
"Roswell, New Mexico",2019,16
"Night Stalker: The Hunt For a Serial Killer",2021,18
"Glitch",2015,16
"Great Pretender",2020,18
"InuYasha",2000,16
"In the Dark",2019,16
"GHOUL",2018,18
"Nailed It!",2018,7
"Voltron: Legendary Defender",2016,7
"Trollhunters: Tales of Arcadia",2016,7
"Sweet Magnolias",2020,16
"Medici: Masters of Florence",2016,7
"Aggretsuko",2018,16
"Jurassic World: Camp Cretaceous",2020,7
"Rake",2010,16
"The Gift",2019,18
"Violet Evergarden",2018,16
"3Below: Tales of Arcadia",2018,7
"Jeffrey Epstein: Filthy Rich",2020,18
"Dawson's Creek",1998,7
"Private Practice",2007,16
"Beauty and the Beast",2012,7
"Daybreak",2019,18
"Easy",2016,18
"Behind Her Eyes",2021,18
"Collateral",2018,18
