31,?
42,+
51,b
55,

138,1
144,

182,1
191,

228,`
251,1
256,

269,1
274,

317,y
322,

373,?
392,+
404,n
412,

479,1
483,

550,1
554,

573,?
603,f
613,

618,?
641,b
645,

671,?
681,B
685,

709,e
710,

735,?
737,F
739,

750,?
761,?
763,?
773,B
774,

815,e
818,

849,?
870,p
877,

996,p
1014,

1061,f
1064,

1143,1
1148,

1205,1
1208,

1216,?
1224,+
1235,m
1244,

1288,1
1293,

1337,1
1342,

1351,?
1361,+
1369,s
1376,

1417,1
1426,

1489,f
1492,

1512,f
1516,

1532,b
1535,

1562,1
1565,

1626,1
1630,

1684,?
1692,Q
1699,Q
1704,Q
1710,

